route_avg_temp,route_avg_wind_speed,route_avg_precip,route_avg_humidity,route_avg_visibility,route_avg_pressure,origin_avg_temp,origin_avg_wind_speed,origin_avg_precip,origin_avg_humidity,origin_avg_visibility,origin_avg_pressure,dest_avg_temp,dest_avg_wind_speed,dest_avg_precip,dest_avg_humidity,dest_avg_visibility,dest_avg_pressure,truck_age,load_capacity_pounds,mileage_mpg,age,experience,average_speed_mph,avg_no_of_vehicles,distance,average_hours,route_description,origin_description,dest_description,accident,fuel_type,gender,driving_style,ratings,is_midnight,delay
64.5,9.5,0.0,57.75,6.0,1014.0,32.416666666666664,9.0,0.041666666666666664,78.0,4.458333333333333,1021.5,29.666666666666668,12.916666666666666,0.03333333333333333,86.45833333333333,3.75,1013.0416666666666,9,6000.0,21,47,6,63.95,1567.7083333333333,263.46,5.27,Sunny,Overcast,Blizzard,1,diesel,male,Unknown,3,0,0
49.0,9.75,0.0,73.5,5.75,1022.0,21.291666666666668,5.041666666666667,0.0,72.41666666666667,6.0,1021.625,30.791666666666668,6.208333333333333,0.0,96.91666666666667,2.875,1024.5416666666667,10,4000.0,17,49,6,60.89,1763.9583333333333,7267.89,145.36,Sunny,Sunny,Mist,1,gas,male,proactive,4,1,1
54.25,7.5,0.0,92.75,2.75,1007.75,73.54166666666667,2.7083333333333335,0.0,68.29166666666667,6.0,1013.375,29.875,8.041666666666666,0.0,89.08333333333333,5.166666666666667,1019.0,11,20000.0,19,47,8,62.95,1775.875,2531.01,50.62,Light drizzle,Partly cloudy,Partly cloudy,1,gas,male,proactive,2,1,1
34.5,11.0,0.0,51.75,6.0,1022.75,77.16666666666667,3.5416666666666665,0.0,79.70833333333333,6.0,1014.5416666666666,62.916666666666664,3.3333333333333335,0.0,67.91666666666667,6.0,1012.25,10,6000.0,20,54,21,41.33,1765.8333333333333,1129.55,22.59,Sunny,Partly cloudy,Clear,0,gas,male,conservative,7,1,0
51.0,10.0,0.0,81.75,6.0,1016.25,51.979166666666664,4.708333333333333,0.010416666666666666,71.72916666666667,5.604166666666667,1017.4791666666666,25.708333333333332,10.333333333333334,0.0,84.5,4.916666666666667,1011.2916666666666,10,4000.0,21,41,10,62.65,1588.0416666666667,349.44,6.99,Clear,Partly cloudy,Overcast,1,diesel,male,proactive,7,0,0
71.0,5.75,0.0,80.0,6.0,1018.5,52.354166666666664,6.8125,0.0020833333333333333,54.3125,5.895833333333333,1015.25,17.958333333333332,3.0416666666666665,0.0,55.875,6.0,1031.4166666666667,13,15000.0,19,46,5,63.57,1744.16,828.73,16.57,Clear,Clear,Sunny,0,gas,male,proactive,2,1,0
43.0,8.0,0.0,70.75,5.75,1016.25,-11.791666666666666,5.541666666666667,0.0,74.83333333333333,3.5416666666666665,1030.25,55.208333333333336,4.625,0.0,86.79166666666667,5.916666666666667,1013.625,10,15000.0,24,49,10,40.13,830.7916666666666,1543.01,30.86,Light sleet,Heavy snow,Partly cloudy,1,diesel,male,conservative,2,1,1
43.5,3.75,0.05,86.25,5.0,1017.75,48.666666666666664,9.375,0.05416666666666667,88.58333333333333,4.833333333333333,1010.0833333333334,37.333333333333336,4.708333333333333,0.0,77.95833333333333,5.291666666666667,1014.4583333333334,8,10000.0,23,42,18,44.79,1650.9166666666667,528.34,10.57,Moderate or heavy rain shower,Light rain shower,Sunny,1,diesel,male,conservative,8,0,0
59.0,7.0,0.0,89.0,3.5,1018.0,25.458333333333332,14.833333333333334,0.016666666666666666,88.95833333333333,1.375,1010.7083333333334,29.916666666666668,13.0,0.008333333333333333,82.08333333333333,1.0416666666666667,1010.625,12,10000.0,24,47,19,60.59,607.9583333333334,110.4,2.21,Cloudy,Blizzard,Blizzard,1,diesel,male,proactive,9,0,1
50.5,3.75,0.0,79.5,6.0,1012.5,22.208333333333332,9.125,0.0,66.54166666666667,5.833333333333333,1021.0833333333334,18.875,12.75,0.0,80.41666666666667,2.7083333333333335,1015.75,12,15000.0,18,45,3,43.94,1762.9583333333333,247.63,4.95,Clear,Light snow,Moderate snow,1,gas,male,conservative,4,0,0
